product,unit_cost,total_cost,quantity,purchased_at,customer_id
chocolate,34,24965,719,2020-01-06 17:24:00,327
caramel,10,6754,672,2020-01-06 17:42:00,334
butter_creme,21,23668,1091,2020-01-06 18:29:00,180
caramel,10,1055,105,2020-01-06 18:39:00,278
butter_creme,21,6594,304,2020-01-06 19:59:00,250
chocolate,34,47917,1380,2020-01-06 20:10:00,381
caramel,10,462,46,2020-01-06 21:35:00,93
dark_chocolate,34,35750,1038,2020-01-06 22:02:00,142
dark_chocolate,34,29309,851,2020-01-06 23:16:00,461
caramel,10,12925,1286,2020-01-07 00:35:00,122
toffee,18,17027,900,2020-01-07 00:50:00,173
toffee,18,26562,1404,2020-01-07 01:07:00,111
toffee,18,983,52,2020-01-07 01:14:00,340
chocolate,34,49792,1434,2020-01-07 02:27:00,300
dark_chocolate,34,24694,717,2020-01-07 03:00:00,461
chocolate,34,28333,816,2020-01-07 03:02:00,406
toffee,18,12032,636,2020-01-07 03:21:00,298
toffee,18,11710,619,2020-01-07 03:33:00,398
dark_chocolate,34,42535,1235,2020-01-07 04:55:00,57
butter_creme,21,9827,453,2020-01-07 06:20:00,354
dark_chocolate,34,12433,361,2020-01-07 06:38:00,92
toffee,18,19372,1024,2020-01-07 06:51:00,182
chocolate,34,43889,1264,2020-01-07 07:15:00,61
dark_chocolate,34,6371,185,2020-01-07 07:20:00,148
butter_creme,21,16053,740,2020-01-07 07:42:00,458
caramel,10,10201,1015,2020-01-07 08:06:00,378
butter_creme,21,30111,1388,2020-01-07 09:25:00,58
chocolate,34,6770,195,2020-01-07 10:11:00,369
caramel,10,9829,978,2020-01-07 10:25:00,475
caramel,10,2532,252,2020-01-07 10:39:00,258
butter_creme,21,32128,1481,2020-01-07 11:25:00,5
butter_creme,21,8612,397,2020-01-07 13:03:00,355
caramel,10,9075,903,2020-01-07 14:03:00,436
dark_chocolate,34,51111,1484,2020-01-07 15:34:00,33
toffee,18,28189,1490,2020-01-07 17:09:00,184
dark_chocolate,34,27449,797,2020-01-07 18:24:00,380
chocolate,34,14722,424,2020-01-07 19:57:00,344
butter_creme,21,10695,493,2020-01-07 20:56:00,470
butter_creme,21,21780,1004,2020-01-07 21:42:00,316
toffee,18,9081,480,2020-01-07 22:45:00,99
caramel,10,2964,295,2020-01-07 22:45:00,377
butter_creme,21,22952,1058,2020-01-07 23:13:00,161
dark_chocolate,34,48906,1420,2020-01-07 23:18:00,147
chocolate,34,10451,301,2020-01-07 23:24:00,349
dark_chocolate,34,29688,862,2020-01-08 00:53:00,97
chocolate,34,34410,991,2020-01-08 02:10:00,307
dark_chocolate,34,37610,1092,2020-01-08 03:42:00,383
dark_chocolate,34,27484,798,2020-01-08 04:52:00,21
butter_creme,21,9241,426,2020-01-08 06:22:00,288
dark_chocolate,34,8817,256,2020-01-08 07:43:00,232
chocolate,34,35555,1024,2020-01-08 08:08:00,194
caramel,10,14332,1426,2020-01-08 09:20:00,466
chocolate,34,13333,384,2020-01-08 10:44:00,173
toffee,18,19013,1005,2020-01-08 11:02:00,244
caramel,10,572,57,2020-01-08 11:43:00,33
butter_creme,21,6269,289,2020-01-08 13:05:00,353
chocolate,34,20104,579,2020-01-08 13:38:00,326
caramel,10,11035,1098,2020-01-08 14:17:00,202
dark_chocolate,34,37816,1098,2020-01-08 15:12:00,340
butter_creme,21,18266,842,2020-01-08 15:26:00,158
caramel,10,4924,490,2020-01-08 15:29:00,59
caramel,10,5326,530,2020-01-08 16:49:00,442
dark_chocolate,34,28035,814,2020-01-08 17:29:00,156
butter_creme,21,29373,1354,2020-01-08 18:31:00,237
butter_creme,21,29655,1367,2020-01-08 19:50:00,366
caramel,10,1949,194,2020-01-08 20:20:00,479
toffee,18,8494,449,2020-01-08 20:38:00,42
caramel,10,5457,543,2020-01-08 22:09:00,216
dark_chocolate,34,30997,900,2020-01-08 23:09:00,179
toffee,18,27167,1436,2020-01-09 00:48:00,314
dark_chocolate,34,45359,1317,2020-01-09 01:27:00,400
dark_chocolate,34,6268,182,2020-01-09 02:54:00,132
dark_chocolate,34,32960,957,2020-01-09 04:22:00,281
dark_chocolate,34,50284,1460,2020-01-09 05:47:00,274
butter_creme,21,14231,656,2020-01-09 06:54:00,211
butter_creme,21,27898,1286,2020-01-09 08:08:00,444
dark_chocolate,34,15223,442,2020-01-09 08:46:00,497
chocolate,34,44444,1280,2020-01-09 09:14:00,356
dark_chocolate,34,36232,1052,2020-01-09 09:16:00,382
butter_creme,21,21802,1005,2020-01-09 10:49:00,48
toffee,18,1362,72,2020-01-09 12:27:00,91
dark_chocolate,34,21870,635,2020-01-09 13:46:00,25
chocolate,34,28298,815,2020-01-09 14:42:00,345
chocolate,34,13680,394,2020-01-09 15:23:00,121
toffee,18,20054,1060,2020-01-09 15:27:00,479
chocolate,34,7152,206,2020-01-09 16:05:00,498
chocolate,34,35764,1030,2020-01-09 17:16:00,416
caramel,10,3899,388,2020-01-09 18:15:00,165
toffee,18,964,51,2020-01-09 18:54:00,135
toffee,18,19316,1021,2020-01-09 20:18:00,305
caramel,10,6291,626,2020-01-09 21:18:00,476
caramel,10,10030,998,2020-01-09 21:24:00,437
chocolate,34,44236,1274,2020-01-09 21:54:00,173
chocolate,34,21562,621,2020-01-09 22:58:00,264
caramel,10,3618,360,2020-01-09 23:54:00,325
caramel,10,2934,292,2020-01-10 01:24:00,186
caramel,10,2643,263,2020-01-10 01:38:00,429
caramel,10,14493,1442,2020-01-10 03:03:00,459
caramel,10,12292,1223,2020-01-10 03:40:00,475
chocolate,34,7986,230,2020-01-10 04:49:00,313
dark_chocolate,34,20664,600,2020-01-10 06:12:00,424
dark_chocolate,34,48872,1419,2020-01-10 06:42:00,192
dark_chocolate,34,11572,336,2020-01-10 08:11:00,240
toffee,18,3689,195,2020-01-10 08:27:00,337
chocolate,34,37014,1066,2020-01-10 10:05:00,103
butter_creme,21,24015,1107,2020-01-10 10:09:00,13
toffee,18,6205,328,2020-01-10 10:33:00,216
dark_chocolate,34,46978,1364,2020-01-10 12:10:00,334
chocolate,34,38194,1100,2020-01-10 13:38:00,409
butter_creme,21,10673,492,2020-01-10 14:41:00,53
toffee,18,9308,492,2020-01-10 15:50:00,4
toffee,18,8381,443,2020-01-10 16:12:00,371
toffee,18,19316,1021,2020-01-10 17:50:00,491
caramel,10,3085,307,2020-01-10 18:06:00,98
dark_chocolate,34,16394,476,2020-01-10 19:30:00,446
butter_creme,21,23038,1062,2020-01-10 20:08:00,391
butter_creme,21,15250,703,2020-01-10 21:24:00,297
butter_creme,21,5813,268,2020-01-10 22:15:00,180
toffee,18,2932,155,2020-01-10 22:58:00,186
chocolate,34,24271,699,2020-01-10 23:27:00,52
dark_chocolate,34,43120,1252,2020-01-11 00:35:00,174
toffee,18,28000,1480,2020-01-11 01:24:00,243
caramel,10,6824,679,2020-01-11 01:58:00,382
dark_chocolate,34,50663,1471,2020-01-11 02:48:00,499
butter_creme,21,3926,181,2020-01-11 04:13:00,210
caramel,10,13538,1347,2020-01-11 04:40:00,125
toffee,18,28132,1487,2020-01-11 05:44:00,274
caramel,10,12493,1243,2020-01-11 06:22:00,476
caramel,10,6271,624,2020-01-11 06:52:00,486
toffee,18,18237,964,2020-01-11 06:57:00,82
butter_creme,21,11280,520,2020-01-11 07:24:00,140
butter_creme,21,25338,1168,2020-01-11 08:24:00,373
caramel,10,763,76,2020-01-11 08:33:00,171
dark_chocolate,34,32133,933,2020-01-11 09:06:00,307
dark_chocolate,34,4994,145,2020-01-11 09:24:00,162
butter_creme,21,21802,1005,2020-01-11 10:40:00,314
chocolate,34,48681,1402,2020-01-11 10:57:00,156
chocolate,34,555,16,2020-01-11 11:40:00,56
chocolate,34,51076,1471,2020-01-11 12:00:00,344
dark_chocolate,34,17840,518,2020-01-11 12:23:00,13
caramel,10,15035,1496,2020-01-11 12:43:00,216
chocolate,34,2187,63,2020-01-11 13:11:00,352
dark_chocolate,34,51558,1497,2020-01-11 13:37:00,226
caramel,10,6010,598,2020-01-11 13:44:00,4
chocolate,34,41458,1194,2020-01-11 15:09:00,214
dark_chocolate,34,30274,879,2020-01-11 15:25:00,54
chocolate,34,45868,1321,2020-01-11 16:21:00,398
butter_creme,21,21194,977,2020-01-11 16:59:00,327
caramel,10,8271,823,2020-01-11 18:25:00,280
caramel,10,10161,1011,2020-01-11 18:29:00,323
butter_creme,21,28505,1314,2020-01-11 18:32:00,321
chocolate,34,49132,1415,2020-01-11 19:11:00,90
toffee,18,19883,1051,2020-01-11 20:01:00,118
caramel,10,653,65,2020-01-11 21:00:00,466
chocolate,34,451,13,2020-01-11 21:08:00,356
dark_chocolate,34,19735,573,2020-01-11 21:49:00,307
butter_creme,21,20175,930,2020-01-11 21:57:00,480
caramel,10,15045,1497,2020-01-11 22:36:00,212
dark_chocolate,34,3168,92,2020-01-11 23:00:00,418
caramel,10,11699,1164,2020-01-12 00:36:00,453
toffee,18,8740,462,2020-01-12 01:28:00,415
toffee,18,19827,1048,2020-01-12 02:41:00,89
dark_chocolate,34,42259,1227,2020-01-12 03:54:00,153
dark_chocolate,34,12881,374,2020-01-12 04:20:00,369
dark_chocolate,34,37679,1094,2020-01-12 05:13:00,329
toffee,18,18389,972,2020-01-12 06:21:00,333
butter_creme,21,16747,772,2020-01-12 06:54:00,93
butter_creme,21,14144,652,2020-01-12 07:42:00,200
toffee,18,28132,1487,2020-01-12 09:18:00,29
dark_chocolate,34,35991,1045,2020-01-12 09:43:00,344
chocolate,34,5243,151,2020-01-12 10:47:00,345
toffee,18,18445,975,2020-01-12 11:44:00,228
toffee,18,1986,105,2020-01-12 12:31:00,208
chocolate,34,41146,1185,2020-01-12 12:52:00,115
dark_chocolate,34,44119,1281,2020-01-12 13:57:00,426
butter_creme,21,1345,62,2020-01-12 14:55:00,43
dark_chocolate,34,4615,134,2020-01-12 16:04:00,152
chocolate,34,25451,733,2020-01-12 16:39:00,139
dark_chocolate,34,37954,1102,2020-01-12 18:12:00,51
caramel,10,1437,143,2020-01-12 18:39:00,493
caramel,10,5246,522,2020-01-12 19:37:00,228
toffee,18,10745,568,2020-01-12 20:58:00,47
dark_chocolate,34,32409,941,2020-01-12 21:23:00,315
caramel,10,14744,1467,2020-01-12 21:30:00,487
toffee,18,22608,1195,2020-01-12 22:21:00,119
caramel,10,8412,837,2020-01-12 22:44:00,144
butter_creme,21,7723,356,2020-01-12 23:40:00,181
caramel,10,3427,341,2020-01-13 00:30:00,350
dark_chocolate,34,41639,1209,2020-01-13 01:04:00,355
caramel,10,12684,1262,2020-01-13 01:30:00,381
butter_creme,21,10044,463,2020-01-13 01:55:00,419
dark_chocolate,34,2135,62,2020-01-13 02:58:00,110
toffee,18,26391,1395,2020-01-13 03:54:00,131
caramel,10,2854,284,2020-01-13 03:59:00,191
dark_chocolate,34,15360,446,2020-01-13 05:31:00,72
chocolate,34,11145,321,2020-01-13 06:28:00,107
butter_creme,21,27898,1286,2020-01-13 06:31:00,474
chocolate,34,16215,467,2020-01-13 08:07:00,376
butter_creme,21,31456,1450,2020-01-13 08:19:00,465
chocolate,34,18680,538,2020-01-13 09:12:00,393
toffee,18,26864,1420,2020-01-13 09:48:00,388
chocolate,34,44931,1294,2020-01-13 10:46:00,373
butter_creme,21,13667,630,2020-01-13 11:17:00,199
toffee,18,17008,899,2020-01-13 12:42:00,32
chocolate,34,39028,1124,2020-01-13 13:16:00,314
caramel,10,281,28,2020-01-13 14:44:00,67
chocolate,34,25555,736,2020-01-13 15:09:00,48
chocolate,34,46771,1347,2020-01-13 16:26:00,108
butter_creme,21,30393,1401,2020-01-13 17:50:00,309
butter_creme,21,21954,1012,2020-01-13 19:12:00,392
dark_chocolate,34,21904,636,2020-01-13 20:39:00,405
chocolate,34,39687,1143,2020-01-13 20:45:00,471
chocolate,34,17743,511,2020-01-13 22:10:00,257
caramel,10,2995,298,2020-01-13 22:26:00,388
butter_creme,21,22431,1034,2020-01-13 22:59:00,86
toffee,18,3802,201,2020-01-13 23:35:00,349
dark_chocolate,34,27518,799,2020-01-14 00:37:00,63
dark_chocolate,34,38023,1104,2020-01-14 01:55:00,198
caramel,10,13769,1370,2020-01-14 02:31:00,387
dark_chocolate,34,49423,1435,2020-01-14 04:01:00,83
butter_creme,21,24839,1145,2020-01-14 04:58:00,184
dark_chocolate,34,50870,1477,2020-01-14 05:56:00,470
caramel,10,814,81,2020-01-14 07:18:00,25
toffee,18,7227,382,2020-01-14 08:49:00,341
chocolate,34,4444,128,2020-01-14 10:01:00,339
chocolate,34,15139,436,2020-01-14 10:22:00,357
caramel,10,944,94,2020-01-14 11:20:00,39
chocolate,34,51424,1481,2020-01-14 12:32:00,73
chocolate,34,24583,708,2020-01-14 13:47:00,36
toffee,18,24216,1280,2020-01-14 14:33:00,263
butter_creme,21,18483,852,2020-01-14 14:52:00,437
caramel,10,2452,244,2020-01-14 15:56:00,134
caramel,10,10513,1046,2020-01-14 17:21:00,117
dark_chocolate,34,26795,778,2020-01-14 18:30:00,416
toffee,18,7794,412,2020-01-14 19:51:00,462
caramel,10,12432,1237,2020-01-14 20:13:00,105
caramel,10,5789,576,2020-01-14 21:47:00,459
chocolate,34,42014,1210,2020-01-14 21:57:00,458
dark_chocolate,34,21457,623,2020-01-14 23:31:00,39
toffee,18,25843,1366,2020-01-14 23:50:00,476
dark_chocolate,34,10883,316,2020-01-15 01:00:00,152
dark_chocolate,34,26657,774,2020-01-15 01:13:00,13
butter_creme,21,368,17,2020-01-15 02:13:00,449
toffee,18,6621,350,2020-01-15 02:45:00,12
butter_creme,21,9892,456,2020-01-15 03:26:00,277
butter_creme,21,10174,469,2020-01-15 04:27:00,446
dark_chocolate,34,13604,395,2020-01-15 06:00:00,498
caramel,10,7749,771,2020-01-15 07:20:00,159
caramel,10,7387,735,2020-01-15 07:37:00,142
caramel,10,9116,907,2020-01-15 08:09:00,52
dark_chocolate,34,14982,435,2020-01-15 09:15:00,141
toffee,18,28302,1496,2020-01-15 09:41:00,287
dark_chocolate,34,23523,683,2020-01-15 10:07:00,128
butter_creme,21,18309,844,2020-01-15 10:51:00,226
chocolate,34,14965,431,2020-01-15 11:58:00,415
chocolate,34,35694,1028,2020-01-15 12:01:00,272
toffee,18,13810,730,2020-01-15 13:22:00,293
caramel,10,6914,688,2020-01-15 14:02:00,335
chocolate,34,28090,809,2020-01-15 14:43:00,423
butter_creme,21,5553,256,2020-01-15 16:02:00,277
toffee,18,1305,69,2020-01-15 16:32:00,279
dark_chocolate,34,35991,1045,2020-01-15 17:45:00,34
caramel,10,6774,674,2020-01-15 19:19:00,319
dark_chocolate,34,27036,785,2020-01-15 19:37:00,61
chocolate,34,47118,1357,2020-01-15 20:24:00,245
dark_chocolate,34,38126,1107,2020-01-15 21:47:00,309
toffee,18,13356,706,2020-01-15 22:37:00,333
toffee,18,28018,1481,2020-01-15 23:31:00,110
chocolate,34,46111,1328,2020-01-16 00:44:00,433
butter_creme,21,14903,687,2020-01-16 01:35:00,130
toffee,18,12183,644,2020-01-16 01:35:00,374
caramel,10,7749,771,2020-01-16 02:52:00,259
caramel,10,13045,1298,2020-01-16 03:36:00,488
toffee,18,25408,1343,2020-01-16 05:00:00,54
toffee,18,28037,1482,2020-01-16 05:44:00,225
chocolate,34,21701,625,2020-01-16 06:49:00,350
caramel,10,12091,1203,2020-01-16 06:50:00,226
butter_creme,21,24752,1141,2020-01-16 07:09:00,180
toffee,18,9705,513,2020-01-16 08:31:00,138
toffee,18,22589,1194,2020-01-16 08:57:00,198
butter_creme,21,2906,134,2020-01-16 09:27:00,493
butter_creme,21,13450,620,2020-01-16 10:24:00,127
chocolate,34,39687,1143,2020-01-16 11:44:00,418
caramel,10,5367,534,2020-01-16 12:48:00,438
chocolate,34,7916,228,2020-01-16 14:17:00,358
caramel,10,10774,1072,2020-01-16 14:32:00,274
caramel,10,1668,166,2020-01-16 15:12:00,481
butter_creme,21,25837,1191,2020-01-16 16:39:00,143
butter_creme,21,23906,1102,2020-01-16 17:50:00,475
toffee,18,8986,475,2020-01-16 18:09:00,90
butter_creme,21,4100,189,2020-01-16 19:08:00,170
caramel,10,7588,755,2020-01-16 19:54:00,421
butter_creme,21,28917,1333,2020-01-16 21:23:00,180
chocolate,34,972,28,2020-01-16 22:37:00,387
caramel,10,13407,1334,2020-01-16 23:55:00,18
toffee,18,908,48,2020-01-17 00:51:00,175
toffee,18,9118,482,2020-01-17 00:58:00,53
toffee,18,8891,470,2020-01-17 01:30:00,146
toffee,18,14605,772,2020-01-17 02:13:00,285
toffee,18,24064,1272,2020-01-17 02:32:00,483
toffee,18,567,30,2020-01-17 03:58:00,365
caramel,10,2331,232,2020-01-17 05:36:00,144
butter_creme,21,11497,530,2020-01-17 06:32:00,49
dark_chocolate,34,28310,822,2020-01-17 06:55:00,10
chocolate,34,6180,178,2020-01-17 07:45:00,472
caramel,10,10603,1055,2020-01-17 08:26:00,222
toffee,18,21245,1123,2020-01-17 10:05:00,70
dark_chocolate,34,47667,1384,2020-01-17 10:57:00,477
chocolate,34,29861,860,2020-01-17 12:27:00,389
butter_creme,21,22214,1024,2020-01-17 12:36:00,103
toffee,18,10027,530,2020-01-17 12:46:00,123
dark_chocolate,34,20802,604,2020-01-17 13:44:00,135
butter_creme,21,18049,832,2020-01-17 14:52:00,194
chocolate,34,45764,1318,2020-01-17 15:43:00,318
toffee,18,9951,526,2020-01-17 17:03:00,12
chocolate,34,902,26,2020-01-17 17:23:00,145
toffee,18,26713,1412,2020-01-17 17:34:00,49
toffee,18,23667,1251,2020-01-17 18:02:00,59
chocolate,34,4201,121,2020-01-17 19:26:00,444
butter_creme,21,6030,278,2020-01-17 19:51:00,274
toffee,18,17972,950,2020-01-17 20:46:00,33
toffee,18,26373,1394,2020-01-17 22:02:00,206
toffee,18,8627,456,2020-01-17 22:16:00,106
chocolate,34,48507,1397,2020-01-17 22:36:00,95
butter_creme,21,24362,1123,2020-01-17 23:12:00,253
chocolate,34,9757,281,2020-01-17 23:22:00,282
butter_creme,21,25251,1164,2020-01-18 00:16:00,194
caramel,10,13548,1348,2020-01-18 00:25:00,444
caramel,10,14583,1451,2020-01-18 01:50:00,215
dark_chocolate,34,4408,128,2020-01-18 02:20:00,16
butter_creme,21,780,36,2020-01-18 03:44:00,296
dark_chocolate,34,19907,578,2020-01-18 05:19:00,190
butter_creme,21,29069,1340,2020-01-18 06:50:00,13
dark_chocolate,34,6027,175,2020-01-18 07:00:00,241
caramel,10,1376,137,2020-01-18 08:12:00,224
dark_chocolate,34,11985,348,2020-01-18 09:17:00,288
chocolate,34,16493,475,2020-01-18 10:11:00,191
dark_chocolate,34,37644,1093,2020-01-18 11:44:00,330
caramel,10,1105,110,2020-01-18 12:43:00,366
butter_creme,21,5163,238,2020-01-18 13:03:00,404
butter_creme,21,13168,607,2020-01-18 14:31:00,276
toffee,18,18975,1003,2020-01-18 16:04:00,307
butter_creme,21,24817,1144,2020-01-18 17:07:00,65
toffee,18,20224,1069,2020-01-18 18:21:00,436
toffee,18,11483,607,2020-01-18 18:50:00,143
